Word,Number of records using the relevant words/phrases,Group,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
unlocking,5524,1,-0.670111848,-0.698213313,-0.765224498,-0.953288145,-0.59661571,-0.564190943,-0.520957921,-0.46259334,-0.458270038,-0.265883088,-0.268044739,-0.246428228,0,0.140507323,0.516634618,0.6745,1.229979489,1.586565458,1.489420857,1.737470323,2.121120165,3.118116896,3.291783947,9.044694164,22.22449723
emphasize,254731,1,-1.3842101,-1.177736369,-1.284225963,-1.245778597,-1.229394563,-1.097545833,-0.939665331,-0.556390045,-0.451389306,-0.373064257,-0.375552677,-0.036596237,0.089136921,0,0.287536816,0.105327669,0.191969543,0.286621192,0.575340919,0.6745,1.105514742,2.078640658,2.890935973,6.620245422,21.70420186
grapple,3383,1,-1.296690094,-0.787036132,-0.508420661,-0.313585368,-0.72248808,-0.460126891,-0.328269035,-0.956931327,-0.119371996,0.012628165,0.089261518,0.567181683,0,-0.883455015,-0.535848444,-0.419174955,0.247746038,0.714561219,0.6745,1.876131005,3.517687,4.806908768,4.39206618,9.183600843,21.34537723
intricacy,5961,1,-1.367861829,-1.498730299,-1.322904436,-1.083964432,-1.202023322,-0.6745,-0.886073393,-0.614154724,-0.444724123,-0.292950999,-0.230408543,0,-0.358847347,0.002401081,0.021018991,0.059302902,0.720114832,0.704888926,0.584396558,0.553963803,0.649549714,1.545400844,1.761574404,6.19116959,20.18166169
promptly,22395,1,1.908481936,-0.46048364,-0.634329584,1.50392229,-0.583801977,-1.161723586,-1.037655078,-0.939043967,-0.306408316,-0.543074983,-0.655068166,0,-0.6745,-0.440422631,0.530201091,0.366010566,1.243976142,0.925613497,-0.286153715,0.092948534,4.594430811,6.034274029,6.029458419,11.0885593,18.51089059
encompass,114241,1,-1.171376458,-0.98017391,-1.067730034,-0.895920093,-0.827401265,-0.761240997,-0.6745,-0.436499244,-0.528176015,-0.430809439,-0.198532251,0,0.083694322,-0.033182226,0.136997463,0.309736679,0.608244875,0.605320389,0.748750435,0.63171472,0.884952064,1.394201719,1.286693494,5.594648009,17.98623418
necessitate,84921,1,-0.916361667,-0.898678476,-0.726792863,-0.611607067,-0.691205006,-0.711882219,-0.6745,-0.571938316,-0.476986782,-0.159622425,-0.268518722,0,-0.125504921,0.071089583,0.123960743,0.284067133,0.31827897,0.445748462,0.68477606,0.687421464,1.288042928,1.769937036,2.27245504,5.27649748,16.88535711
deep dive,619,1,0.331896825,0.67664127,-1.299750794,-0.597414286,-0.6745,0.156312698,-0.822247619,-0.862931746,-0.40041746,-0.214126984,-0.087792063,0,-0.107063492,-0.00214127,0.633815873,-0.147747619,-0.012847619,1.604453492,3.390443841,3.452776206,2.495371635,8.500177476,6.371541127,11.44697162,15.61604541
exceptional,45635,1,-1.032202925,-0.852878254,-0.6745,-0.560670231,-0.490126586,-0.309481912,-0.490525077,-0.281210373,-0.24025827,-0.262203758,-0.051661559,-0.021774707,0,0.136892457,0.36928408,0.754155577,0.927883579,0.992979989,1.382455485,1.545787132,1.878452702,2.075606304,2.507168891,6.067383228,15.48571946
garner,17088,1,-0.869741685,-0.822225655,-0.859919517,-0.734115782,-0.756592003,-0.6894902,-0.551377885,-0.578175932,-0.461640971,-0.348120392,-0.231812417,-0.159099504,0,0.076939405,0.162390811,0.337992246,0.487867012,0.619151568,0.6745,1.03458713,1.459665086,1.60802358,1.9284062,5.267557317,14.81729099
realm,16345,1,-1.227595855,-0.701886925,-0.956075939,-0.909133198,-0.748917491,-0.610987511,-0.350767811,-0.399920828,-0.478875971,-0.33719145,0,-0.181462164,0.167871164,-0.023024924,0.063549083,0.418247087,0.704104519,0.436792909,0.960298882,0.6745,0.789119623,0.899055219,0.90396613,4.81557577,13.87551012
impressively,3838,1,-0.650003169,-0.303461654,-0.623554471,-0.434800839,-0.68024816,-0.618777768,-0.353556598,-1.155433851,-0.940979139,0.192012713,-0.211056851,-0.199914195,-0.004118619,0,0.088053393,0.6745,2.095790721,2.674949163,3.836981758,4.842999267,3.925755909,6.694676741,8.535609991,11.48767507,13.50678337
groundbreaking,4913,1,-1.30082093,-1.377090067,-0.957315902,-1.172596333,-0.614227759,-1.087014425,-0.596830197,-0.539915717,-0.384274349,-0.169403826,-0.111631154,-0.050284429,0.096494194,0,0.381755592,0.514443831,0.588314567,0.6745,0.76994762,0.90863622,1.077780147,1.518388127,1.597910367,4.378485117,13.10400578
profoundly,28449,1,0.702199157,-0.6745,0.212568994,0,1.294831212,-1.098663646,0.648888719,0.424395632,0.188071247,0.032965245,-0.108523164,-0.500997489,-1.316313138,-1.569433328,-1.030830868,-1.845450559,-1.036491333,0.454321857,-0.152623749,-0.68816399,-0.316962803,0.683709854,0.568737472,2.548624058,13.03006408
comprehend,17405,1,-0.832699001,-0.911807547,-0.757757237,-0.682085834,-0.707671439,-0.6745,-0.231259383,-0.356853772,-0.124183352,-0.098983671,0,-0.026447906,0.078125644,-0.040998476,0.23352066,0.294026427,0.322711491,0.555412061,0.867980967,1.079950141,1.565033445,1.904454272,2.963486085,7.203514796,12.82625765
leverage,81123,1,-0.731838047,-0.731271812,-0.72244857,-0.6745,-0.672424474,-0.582930298,-0.550856349,-0.521182634,-0.442537118,-0.383425202,-0.335231097,-0.142659122,0,0.134712792,0.311441214,0.589103762,0.884571139,1.258936583,1.708727521,2.189922948,2.753607272,3.800520459,4.529739795,6.751071241,12.80150448
renowned,5693,1,-0.910612746,-0.989639347,-0.964886476,-0.565063022,-0.609688121,-0.77941624,-0.6745,-0.375469989,-0.236892537,-0.227631607,-0.214098653,-0.024066713,0.181678083,0,0.278895901,0.655624089,0.761912644,0.701548352,0.731467154,0.413815798,0.909399901,1.215551903,1.061627349,3.303533139,12.02315942
pivotal,133265,1,-1.596015797,-1.391469903,-1.228187269,-1.014177134,-0.729970995,-0.698494407,-0.581952404,-0.515415892,-0.469700909,-0.322411249,-0.047152076,-0.024864773,0.042600458,0,0.098293001,0.22642274,0.401246625,0.529591978,0.6745,0.74481568,0.924085355,1.201188121,1.254441661,2.676825381,11.51444431
methodically,1313,1,-1.000243836,-1.063785033,-0.588996231,-0.722665339,-0.101713258,-0.6745,-0.301053953,-1.356780555,0,-0.387463395,-0.042000587,0.210311689,-0.581545012,-0.276446405,0.351359974,0.280346974,1.324886455,1.178414424,0.335695947,1.613847615,1.38314799,2.609429293,3.89982813,4.991544943,11.28726936
noteworthy,39685,1,-0.743965811,-0.789984205,-0.6745,-0.735517218,-0.50540041,-0.555648423,-0.26143089,-0.158163613,-0.208812588,-0.389234924,-0.071247076,-0.111041686,0.036487558,0.127754357,0,0.12198476,0.828111095,3.948544269,3.987167927,3.822017636,3.457049795,3.390887487,3.194948269,6.143365118,11.15351176
bolster,11373,1,-0.81195063,-1.000655403,-0.698202827,-0.684177581,-0.6745,-0.518765022,-0.195516114,-0.361814308,-0.294344985,-0.033235485,0,-0.098490719,-0.014854523,0.193632126,0.389019421,0.554085776,0.598190424,1.038657217,1.195583777,1.247248532,1.668158882,2.284947652,2.700721316,4.64986819,11.07192523
unveil,52374,1,-0.873260757,-0.810907627,-0.717475299,-0.691958715,-0.6745,-0.634612208,-0.575315696,-0.457880321,-0.422307517,-0.323704723,-0.210691774,-0.091108976,0,0.157453437,0.279914237,0.422303488,0.586987519,0.801295933,1.0382389,1.387256074,1.672356892,2.036419449,2.152683748,4.234996787,10.85568805
prowess,1114,1,-1.737137104,-1.432670492,1.907137185,3.669481071,1.79181251,0.616901408,0.999802276,0.709459841,-0.478846918,-0.272839749,-0.539969724,-0.353942209,0.327378558,-0.070848545,-0.497187402,0.421822035,0,-1.017614584,-0.6745,-0.901552283,-0.765892801,0.241813914,0.660685444,4.00002869,10.7915811
advancement,126186,1,-0.817882414,-0.748863852,-0.775651875,-0.760463378,-0.610547691,-0.6745,-0.580718504,-0.454260378,-0.405831408,-0.321335691,-0.21166843,-0.085248791,0,0.104713263,0.228273271,0.27976329,0.545068706,0.72483539,0.917517236,1.130670647,1.352208584,1.877418962,2.203428974,4.233127405,10.61799748
transformative,11764,1,-0.716978855,-0.667584838,-0.753530427,-0.743651624,-0.692775786,-0.6745,-0.669560598,-0.585590769,-0.450745103,-0.369931551,-0.290426942,-0.18674396,0.017282967,0,0.233248427,0.343382267,0.670662085,0.742574834,1.251698726,1.091163231,1.36642127,1.750296752,2.102851488,3.575588441,9.929624917
exercise caution,1184,1,0.472391646,-1.328640064,-1.036104802,0.049809864,-1.492465569,-0.646119483,-2.07421475,-0.183681584,0.348309147,-0.535743952,0.6745,-0.055650492,-0.469563877,-0.631394519,0,-0.230869335,0.737965417,0.675106685,1.134644836,1.201709231,1.178809444,0.328627876,-0.696854798,3.327440788,9.528593993
seamlessly,4744,1,-1.249303813,-1.396898922,-1.132980685,-1.026066248,-0.588186955,-0.390287854,-0.833260413,-0.42215197,-0.400081659,-0.124177656,-0.190415988,-0.19156829,0,0.262807034,0.557260511,0.408465911,0.6745,0.630265002,1.048944844,1.172273115,1.23673809,1.501006432,1.56253357,3.218392939,8.711098012
nuanced,15995,1,-0.6745,-0.707716867,-0.684348211,-0.617525369,-0.588433971,-0.56708889,-0.532587605,-0.507152392,-0.434757794,-0.276128754,-0.168926353,-0.135143838,0,0.201131501,0.42909546,0.681577487,0.763951858,1.000835861,1.21763771,1.399492961,1.623217316,2.11917178,2.414779983,3.347131256,8.523918584
notably,236220,1,-0.989435413,-0.922497868,-0.874685335,-0.816272446,-0.6745,-0.631001752,-0.599877387,-0.492754365,-0.433111099,-0.335077239,-0.209520573,-0.088973704,0,0.10677431,0.243596565,0.34015748,0.532698229,0.772332091,0.916736776,1.052116368,1.151126241,1.411364436,1.630012103,2.946578631,8.099806035
scrutinize,14722,1,-0.837804061,-1.194831067,-1.16543852,-0.947265459,-0.502897895,-0.559200855,-0.36217325,-0.554389445,-0.414858553,-0.429401968,-0.276514137,0,0.147312128,-0.077208209,0.38084385,0.6745,0.540370117,0.928347373,1.097132511,1.230206941,1.666458436,2.235966335,2.305655352,3.630998646,7.98577603
embark,5845,1,-0.6745,-1.098071118,-3.11246802,-0.421750499,-1.159972186,-3.023099343,0.539615831,-0.435128095,-0.057943199,-0.077099284,0,0.311325959,2.164875073,1.075986211,2.251473243,-1.282270332,1.050576693,-0.109712123,0.851970837,0.38430906,-0.65186099,0.42594584,0.525921605,1.551959512,7.936001878
complex,1610661,1,-5.328143351,-3.691340377,-2.844680583,-2.414407693,-1.220114354,-1.345911803,-0.681590687,-0.059190567,-0.317485818,-0.029800999,0.474990213,0.640298443,1.033463031,0.75889338,0.625172535,0.126479651,0.482171626,0.585060431,0.6745,1.101610846,-0.50448176,-0.308468085,0,1.941843167,7.701170184
excel,17729,1,-1.137208777,-1.01043597,-0.81323485,-0.865607336,-0.6745,-0.601319357,-0.497872306,-0.426100045,-0.350489253,-0.392846577,-0.32282789,-0.209623419,0.149481818,0,0.244869794,0.532350054,0.638406755,0.762804642,1.040044214,1.240306034,1.984576183,2.174813636,2.92653072,4.305732694,7.63780384
invaluable,19553,1,-3.273604287,-2.416057874,-3.012344577,-2.59554466,-2.09223034,-2.612428264,-0.64847111,-1.129850814,-0.490721965,-0.327921809,-0.29753132,0.540528598,0.6745,0.415575855,0.927388256,0.628224854,0.92809174,0,0.625650104,-0.308083573,0.443813684,0.913051262,0.561070317,2.568151012,7.613253431
crucial,576555,1,-1.226433166,-1.049181097,-0.975399233,-0.835299532,-0.759548253,-0.6745,-0.533347826,-0.450948519,-0.398166812,-0.283766697,-0.15945894,-0.07237382,0,0.101654474,0.203462788,0.307745079,0.417525739,0.612898807,0.730417058,0.912156495,1.124994977,1.394780141,1.719186843,3.26427747,7.550767067
testament,902,1,-0.327701094,-0.16774245,-1.316273295,3.899078764,0.39215621,0,0.690458248,0.09896139,-0.6745,1.144349582,1.09034039,0.547282529,-0.813176158,0.272317439,-0.530832368,-0.105717964,-0.303713085,-1.357666356,-0.705505009,0.866288331,-0.781462216,0.562343758,-0.071385307,2.009248981,7.471570474
ethical consideration,8802,1,-0.775004151,-0.6745,0,-0.373041085,-0.411460955,-0.298182304,-0.303536243,-0.455031314,-0.145070343,-0.113246527,-0.056184241,0.059353773,-0.206405074,-0.146676525,0.97088338,0.979128447,1.330250504,1.50196205,1.494605737,2.4115107,2.072852614,1.515154157,1.737588925,3.275390246,7.405451263
well-rounded,623,1,-1.940998019,-0.285371224,-0.346632816,-0.693994395,-0.564897166,-0.925661901,0,-0.875207248,-0.956664669,-0.323221323,0.6745,0.005283528,-0.555028508,0.150155427,-0.33725,-0.2952247,0.254368455,0.101890098,1.705197823,1.198404279,0.826082587,3.547797731,3.73754925,4.127573797,7.321390357
revolutionize,32593,1,-0.749734399,-0.82290607,-0.735671872,-0.841278739,-0.610589017,-0.6745,-0.603455817,-0.507541372,-0.432074317,-0.252883233,-0.110794867,-0.035483715,0,0.059617631,0.24136074,0.334677587,0.647178451,0.708714898,0.994534618,1.152261339,1.436805046,1.609771968,1.653585746,3.656643154,7.143850008
ingenious,2136,1,-0.727975352,-0.456302151,-0.211251542,-0.031019363,-0.6745,0,-0.173085214,-0.136211359,0.701382268,-0.258193706,0.081791734,-0.125234187,-0.284090389,-0.456426087,-0.115360634,0.718886726,1.336895602,0.826988262,1.972768941,2.92090741,3.176592892,4.649623131,4.508395322,7.023879183,7.12609672
offer,779246,1,-1.198301065,-1.117245626,-1.007207508,-0.881394693,-0.831562513,-0.6745,-0.613112683,-0.498456615,-0.46738969,-0.331197203,-0.162742619,-0.075521814,0,0.059500627,0.173770785,0.247106376,0.425228422,0.625738188,0.716320683,0.745150477,0.904363578,1.149772112,1.291160594,2.4524394,7.046209842
expansive,6847,1,-0.757512481,-0.767241653,-0.310180257,-0.768394896,-0.269019989,-0.374950541,-0.357484161,-0.362285843,0,-0.060576676,-0.546448163,0.26354733,-0.079825339,-0.151200556,0.197183474,0.876296444,1.117324095,0.6745,1.475856659,1.797904828,1.572812889,2.413694308,2.834942287,4.015086639,7.01657809
actionable,16013,1,-0.6745,-0.594026912,-0.676082753,-0.643982547,-0.563361076,-0.58957542,-0.524286867,-0.526265308,-0.407064237,-0.398034632,-0.382333724,-0.232466818,0,0.464933636,0.910082863,1.468992447,2.037794236,2.45821295,3.081421867,3.463740753,3.917313192,4.639444159,5.331898511,5.588848537,6.939347206
valuable,345639,1,-1.194943372,-1.050470745,-1.012932362,-0.949844127,-0.765475576,-0.701791146,-0.644591825,-0.536079701,-0.463633732,-0.432847427,-0.271552667,-0.090739433,0,0.079639507,0.211299646,0.253520787,0.413438794,0.542826392,0.6745,0.824139943,0.897205451,1.157188899,1.445096201,3.063138089,6.934451166
particularly,862961,1,-1.492171492,-1.46686846,-1.363291327,-1.264625592,-1.088149816,-0.994747077,-0.823024598,-0.609821717,-0.632546922,-0.492810825,-0.292573683,-0.183299764,0,0.166631556,0.365354972,0.299416532,0.551877078,0.6745,0.669543196,0.644539137,0.694655295,1.075917305,1.113206032,2.178571501,6.875013422
endeavor,21266,1,-1.216617778,-0.966393954,-1.039262811,-0.870692716,-0.874691491,-0.839021594,-0.716779269,-0.703075697,-0.652811311,-0.496026205,-0.295515641,0,0.101328528,-0.027183378,0.040683903,0.10291975,0.181411754,0.389053811,0.6745,0.512050309,0.673198844,0.837807459,0.988782946,2.436140364,6.845814696
effectively,460855,1,-1.168076438,-1.094904807,-0.956756309,-0.88370754,-0.742208208,-0.6745,-0.589430713,-0.4812574,-0.413309881,-0.307694965,-0.238711999,-0.164577207,0,0.101555281,0.229455635,0.325430552,0.438342697,0.625301559,0.913512987,1.22979104,1.425619669,1.884369097,2.6408239,3.614880104,6.53336556
thereby,353807,1,-1.559691231,-1.399938015,-1.259593385,-1.166605249,-0.911803446,-0.73327267,-0.6745,-0.549155575,-0.490252767,-0.4146249,-0.213939246,-0.076912512,0,0.010617352,0.115375253,0.239001519,0.284455737,0.429228832,0.479632486,0.767929183,0.805462127,1.025800322,1.313515373,2.387399876,6.479995111
foster,74189,1,-0.969092031,-0.874670697,-0.854103579,-0.737994262,-0.6745,-0.615719583,-0.494775859,-0.340141691,-0.376805593,-0.231311438,-0.1560069,-0.118150512,0,0.18576894,0.250441365,0.327542392,0.66932062,0.862277905,0.922142183,1.06288907,1.159635694,1.586099596,1.935370557,2.7023068,6.451498993
employ,724743,1,-1.40100776,-1.235444456,-1.192520591,-1.101449323,-0.909046047,-0.6745,-0.573101021,-0.531360421,-0.437340014,-0.337796783,-0.251204742,-0.13163433,0,0.064840451,0.132333531,0.255307477,0.319391645,0.464994045,0.710783531,0.794235931,0.77707166,1.057897566,1.36964692,2.544824536,6.432305596
utilization,290925,1,-0.71317641,-0.803676652,-0.6745,-0.498238335,-0.590574035,-0.560206113,-0.232393874,-0.385113033,-0.413394358,-0.372849119,-0.209255225,-0.203708126,0,0.188734295,0.572749447,0.7248368,1.002911803,1.421336843,1.843978629,2.279384909,2.408828536,2.775843217,3.235223011,4.234936762,6.287491299
game changer,1909,1,-0.6745,-0.6745,-0.624481589,-0.6745,-0.6745,-0.6745,-0.6745,-0.6745,-0.640716733,-0.610046766,-0.314257353,-0.092530625,0,0.063301198,0.2403805,0.382143504,0.733796082,0.995200612,1.16691996,1.558388935,2.495905694,3.027007833,3.499702031,4.026816026,6.276978437
predominantly,230799,1,1.173515573,1.505608092,1.498460608,1.072985621,1.085205662,0.898561611,0.65424497,0.363807088,0.331116262,0,0.085508147,-0.201769908,-0.065126111,-0.151691614,-0.393864469,-0.700381512,-0.6745,-0.659230306,-0.891822686,-0.815394644,-1.040737018,-0.589222911,-0.861454678,0.324709387,6.205541695
transcend,4893,1,-1.152787032,-1.399902955,-2.053654624,0,-1.568441922,-0.998443537,-0.767645238,-0.500512266,-0.258357589,-0.679633312,-0.297703423,-0.110122449,-0.544389179,0.6745,0.343473065,0.19001858,0.493400191,0.509603104,0.569768963,0.53532702,0.698933418,1.689404549,1.516850702,2.290202806,5.936374298
navigate,39505,1,-0.975518593,-0.95450237,-0.889259437,-0.838220714,-0.714973699,-0.6745,-0.572914208,-0.418884291,-0.409987096,-0.367644796,-0.241447859,-0.115783678,0,0.133717185,0.130006859,0.266199703,0.479963185,0.642152026,0.833775278,0.998316469,1.452462297,1.942830836,2.188126558,2.911464696,5.915347658
multifaceted,49253,1,-1.00155556,-0.938277601,-0.936520736,-0.87406727,-0.682584404,-0.683470542,-0.586858382,-0.449503138,-0.422359061,-0.346487668,-0.212985197,-0.046694336,0,0.032837192,0.256698771,0.324264867,0.364308032,0.465661672,0.6745,0.766989692,0.953964812,1.251585179,1.285660396,2.226740248,5.887963275
essence,11524,1,-1.213134047,-0.907881255,-0.417659876,-0.507729286,-0.045710298,0.6745,-0.338716179,0.767674261,0.049361372,-1.547394191,0.267074631,0.713799356,0.879046394,0.203856427,-0.176775232,-0.679128527,-0.409207783,-0.52132738,0,-0.445546032,1.009363865,2.553681954,3.051349224,3.546457868,5.80589775
knowledge gap,32952,1,-0.71966956,-0.6745,-0.687741679,-0.6956035,-0.615786554,-0.617364099,-0.567269556,-0.446617763,-0.442897571,-0.341454827,-0.305538901,-0.081408821,0,0.192388116,0.477911466,0.670639451,1.028488843,1.309136445,1.636750321,2.005312028,2.44687033,3.150875768,3.535198229,4.409112639,5.759547807
align,103403,1,-1.300830026,-1.192146681,-1.153776305,-0.974729629,-0.746988001,-0.6745,-0.557266763,-0.531820246,-0.417676272,-0.286547752,-0.103604284,-0.00594122,0,0.141099697,0.206333605,0.249256355,0.455645446,0.642184375,0.785658852,0.96022059,0.911320768,1.11066405,1.37380886,2.365533279,5.63563175
subsequently,388534,1,-1.23542475,-1.099435928,-0.982803844,-1.037718898,-0.743357076,-0.659755122,-0.53245377,-0.393261125,-0.32592461,-0.316140308,-0.227824614,-0.097724924,0,0.101082829,0.355336311,0.412291957,0.426115883,0.6745,0.94523332,1.15741846,1.074566142,1.203768195,1.469623049,2.472891107,5.535820636
essential,915763,1,-1.757827573,-1.511502871,-1.28446537,-1.131303197,-0.933803782,-1.062456772,-0.707561034,-0.633639946,-0.62556164,-0.454476215,-0.173480014,-0.211759486,0.003130886,0,0.104498374,0.065069287,0.202603896,0.438891459,0.50418069,0.6745,1.286909852,2.076260668,2.631571782,3.505862161,5.485751473
strategically,9160,1,-1.174580414,-1.35027634,-0.800918973,-0.968630113,-1.163450725,-0.986703094,-0.659296232,-0.70778696,-0.579244157,-0.554677155,-0.536593963,-0.292169654,0.108029459,0,0.22539152,0.38252435,0.314480086,0.480179713,0.651566714,0.6745,0.921272775,1.191172841,1.376528112,1.90713859,5.465065337
additionally,648274,1,-0.886498088,-0.822689161,-0.762788376,-0.733786686,-0.6745,-0.595586144,-0.519067552,-0.443907303,-0.383320808,-0.319259267,-0.214140323,-0.105039548,0,0.129555737,0.281436648,0.432564908,0.555145954,0.747909285,0.946953087,1.07413027,1.162181185,1.399051653,1.6457698,2.65782716,5.426126412
exhibit,1386494,1,-0.959575463,-0.917945932,-0.860887604,-0.763002007,-0.6745,-0.592093396,-0.506352955,-0.442981038,-0.39746298,-0.324325231,-0.169697349,-0.09397783,0,0.18843191,0.346276446,0.422876231,0.4960654,0.734967807,0.904231494,1.018671538,0.78332946,0.757348137,0.90059176,1.975713152,5.256117672
innovative,164030,1,-0.957679204,-0.900236064,-0.79054688,-0.793555727,-0.6745,-0.6421698,-0.556685098,-0.475314828,-0.375822333,-0.367836436,-0.269290987,-0.127722014,0,0.154068139,0.249466448,0.371050813,0.524980277,0.678358093,0.798442237,0.934602468,1.105184116,1.380279243,1.642583716,2.344669519,5.184299234
foundation,146692,1,-0.848371014,-0.842070215,-0.864521917,-0.772975854,-0.623203218,-0.6745,-0.527156875,-0.507441691,-0.388013774,-0.238254072,-0.176988739,-0.129337925,0,0.176988739,0.34036296,0.428857329,0.605846068,0.701147697,0.92578725,1.232113914,1.233312672,1.595187252,2.185406576,2.972175298,5.148347826
harness,39825,1,-0.93134918,-0.883398179,-0.837749839,-0.79707283,-0.6745,-0.571875893,-0.554422922,-0.486168719,-0.419560099,-0.353134481,-0.284481131,-0.174293397,0,0.080567251,0.275282008,0.387477007,0.528912072,0.771938073,0.96292073,1.027935643,1.295645378,1.599197685,1.647716427,2.647824148,5.01586183
comprehensive,592107,1,-0.956448147,-0.921718649,-0.824977527,-0.79055125,-0.709655979,-0.6745,-0.55275918,-0.489115321,-0.436493647,-0.349106397,-0.239773802,-0.139631461,0,0.098846665,0.214900546,0.318490823,0.470684257,0.59052329,0.735275167,0.889520847,1.076131128,1.414665728,1.675575119,2.475766573,4.878269261
enhance,1859012,1,-1.199218182,-1.103979824,-0.981521043,-0.896281228,-0.755708934,-0.6745,-0.566319986,-0.477667829,-0.421548299,-0.34944736,-0.184294595,-0.118688645,0,0.105289635,0.163717993,0.265999093,0.313538902,0.502086302,0.720847525,0.777965715,0.681798192,0.731748426,1.021687464,1.754820915,4.865339129
outperform,91957,1,-0.833834699,-0.815797622,-0.802974415,-0.760185728,-0.6745,-0.618805966,-0.489181587,-0.420220438,-0.383211865,-0.291534556,-0.209129196,-0.082696055,0,0.117670927,0.29615888,0.394688787,0.569761218,0.731833927,1.102863979,1.285839937,1.323591851,1.837409118,2.471390067,3.225703056,4.699341927
deeper,76106,1,-0.9443,-0.913169231,-0.8094,-0.913169231,-0.664123077,-0.560353846,-0.518846154,-0.570730769,-0.373569231,-0.373569231,-0.249046154,-0.093392308,0,0.114146154,0.300930769,0.435830769,0.6745,0.892415385,0.996184615,1.0792,1.328246154,1.442392308,1.625446419,2.332699102,4.494774608
ultimately,183638,1,-1.172984886,-1.031830426,-0.941289988,-0.867890038,-0.744656323,-0.6745,-0.576076979,-0.530798039,-0.426850643,-0.360992652,-0.155965467,-0.157888148,0,0.101141348,0.116632065,0.278583596,0.503587584,0.601175973,0.76365896,0.879947323,1.056484146,1.245911347,1.468435035,2.355793504,4.382343221
shed light,84170,1,-1.007579378,-0.928241068,-0.900479808,-0.844033102,-0.75117583,-0.6745,-0.533292819,-0.559550226,-0.371541304,-0.320506043,-0.240553755,-0.090839505,0,0.052997276,0.15544948,0.281774653,0.432656104,0.627144321,0.787772234,0.979368534,1.165713495,1.415712082,1.656884104,2.681673462,4.35320156
